variant_id,params,collision_found,result_raw
0,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
1,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
2,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
3,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
4,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
5,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
6,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
7,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
8,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
9,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
10,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
11,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
12,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
13,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
14,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
15,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
16,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
17,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
18,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
19,"{""obs_initial_speed_factor"": 0.5, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
20,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
21,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
22,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
23,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
24,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
25,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
26,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
27,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
28,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
29,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
30,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
31,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
32,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
33,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
34,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 1.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
35,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
36,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
37,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
38,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
39,"{""obs_initial_speed_factor"": 1.0, ""ego_initial_speed_factor"": 2.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
40,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
41,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
42,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
43,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
44,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 0.5, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
45,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -30.0}",FALSE,satisfied
46,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": -15.0}",FALSE,satisfied
47,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 0.0}",FALSE,satisfied
48,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 15.0}",FALSE,satisfied
49,"{""obs_initial_speed_factor"": 1.5, ""ego_initial_speed_factor"": 1.0, ""obs_longitudinal_offset"": 30.0}",FALSE,satisfied
