variant_id,distance,obs_speed,ego_speed,collision_found
0,3,0,10,TRUE
1,3,0,15,TRUE
2,3,0,20,TRUE
3,3,0,25,TRUE
4,3,0,30,TRUE
5,3,1,10,TRUE
6,3,1,15,TRUE
7,3,1,20,TRUE
8,3,1,25,TRUE
9,3,1,30,TRUE
10,3,3,10,TRUE
11,3,3,15,TRUE
12,3,3,20,TRUE
13,3,3,25,TRUE
14,3,3,30,TRUE
15,3,5,10,TRUE
16,3,5,15,TRUE
17,3,5,20,TRUE
18,3,5,25,TRUE
19,3,5,30,TRUE
20,3,10,10,TRUE
21,3,10,15,TRUE
22,3,10,20,TRUE
23,3,10,25,TRUE
24,3,10,30,TRUE
25,5,0,10,TRUE
26,5,0,15,TRUE
27,5,0,20,TRUE
28,5,0,25,TRUE
29,5,0,30,TRUE
30,5,1,10,TRUE
31,5,1,15,TRUE
32,5,1,20,TRUE
33,5,1,25,TRUE
34,5,1,30,TRUE
35,5,3,10,TRUE
36,5,3,15,TRUE
37,5,3,20,TRUE
38,5,3,25,TRUE
39,5,3,30,TRUE
40,5,5,10,TRUE
41,5,5,15,TRUE
42,5,5,20,TRUE
43,5,5,25,TRUE
44,5,5,30,TRUE
45,5,10,10,FALSE
46,5,10,15,FALSE
47,5,10,20,TRUE
48,5,10,25,TRUE
49,5,10,30,TRUE
50,8,0,10,FALSE
51,8,0,15,FALSE
52,8,0,20,FALSE
53,8,0,25,TRUE
54,8,0,30,TRUE
55,8,1,10,FALSE
56,8,1,15,FALSE
57,8,1,20,FALSE
58,8,1,25,TRUE
59,8,1,30,TRUE
60,8,3,10,FALSE
61,8,3,15,FALSE
62,8,3,20,FALSE
63,8,3,25,FALSE
64,8,3,30,TRUE
65,8,5,10,FALSE
66,8,5,15,FALSE
67,8,5,20,FALSE
68,8,5,25,FALSE
69,8,5,30,TRUE
70,8,10,10,FALSE
71,8,10,15,FALSE
72,8,10,20,FALSE
73,8,10,25,TRUE
74,8,10,30,TRUE
75,10,0,10,FALSE
76,10,0,15,FALSE
77,10,0,20,FALSE
78,10,0,25,TRUE
79,10,0,30,TRUE
80,10,1,10,FALSE
81,10,1,15,FALSE
82,10,1,20,FALSE
83,10,1,25,TRUE
84,10,1,30,TRUE
85,10,3,10,FALSE
86,10,3,15,FALSE
87,10,3,20,FALSE
88,10,3,25,TRUE
89,10,3,30,FALSE
90,10,5,10,FALSE
91,10,5,15,FALSE
92,10,5,20,FALSE
93,10,5,25,TRUE
94,10,5,30,FALSE
95,10,10,10,FALSE
96,10,10,15,FALSE
97,10,10,20,FALSE
98,10,10,25,FALSE
99,10,10,30,TRUE
100,15,0,10,FALSE
101,15,0,15,FALSE
102,15,0,20,FALSE
103,15,0,25,TRUE
104,15,0,30,TRUE
105,15,1,10,FALSE
106,15,1,15,FALSE
107,15,1,20,FALSE
108,15,1,25,TRUE
109,15,1,30,TRUE
110,15,3,10,FALSE
111,15,3,15,FALSE
112,15,3,20,FALSE
113,15,3,25,FALSE
114,15,3,30,TRUE
115,15,5,10,FALSE
116,15,5,15,FALSE
117,15,5,20,FALSE
118,15,5,25,FALSE
119,15,5,30,FALSE
120,15,10,10,FALSE
121,15,10,15,FALSE
122,15,10,20,FALSE
123,15,10,25,FALSE
124,15,10,30,FALSE
125,20,0,10,FALSE
126,20,0,15,FALSE
127,20,0,20,FALSE
128,20,0,25,FALSE
129,20,0,30,FALSE
130,20,1,10,FALSE
131,20,1,15,FALSE
132,20,1,20,FALSE
133,20,1,25,FALSE
134,20,1,30,FALSE
135,20,3,10,FALSE
136,20,3,15,FALSE
137,20,3,20,FALSE
138,20,3,25,FALSE
139,20,3,30,FALSE
140,20,5,10,FALSE
141,20,5,15,FALSE
142,20,5,20,FALSE
143,20,5,25,FALSE
144,20,5,30,FALSE
145,20,10,10,FALSE
146,20,10,15,FALSE
147,20,10,20,FALSE
148,20,10,25,FALSE
149,20,10,30,FALSE
150,30,0,10,FALSE
151,30,0,15,FALSE
152,30,0,20,FALSE
153,30,0,25,FALSE
154,30,0,30,FALSE
155,30,1,10,FALSE
156,30,1,15,FALSE
157,30,1,20,FALSE
158,30,1,25,FALSE
159,30,1,30,FALSE
160,30,3,10,FALSE
161,30,3,15,FALSE
162,30,3,20,FALSE
163,30,3,25,FALSE
164,30,3,30,FALSE
165,30,5,10,FALSE
166,30,5,15,FALSE
167,30,5,20,FALSE
168,30,5,25,FALSE
169,30,5,30,FALSE
170,30,10,10,FALSE
171,30,10,15,FALSE
172,30,10,20,FALSE
173,30,10,25,FALSE
174,30,10,30,FALSE
175,50,0,10,FALSE
176,50,0,15,FALSE
177,50,0,20,FALSE
178,50,0,25,FALSE
179,50,0,30,FALSE
180,50,1,10,FALSE
181,50,1,15,FALSE
182,50,1,20,FALSE
183,50,1,25,FALSE
184,50,1,30,FALSE
185,50,3,10,FALSE
186,50,3,15,FALSE
187,50,3,20,FALSE
188,50,3,25,FALSE
189,50,3,30,FALSE
190,50,5,10,FALSE
191,50,5,15,FALSE
192,50,5,20,FALSE
193,50,5,25,FALSE
194,50,5,30,FALSE
195,50,10,10,FALSE
196,50,10,15,FALSE
197,50,10,20,FALSE
198,50,10,25,FALSE
199,50,10,30,FALSE
