variant_id,distance,ego_speed,obs_speed,cut_in_side,collision_found
0,2,15,10,left,TRUE
1,2,15,10,right,TRUE
2,2,15,15,left,TRUE
3,2,15,15,right,TRUE
4,2,15,20,left,FALSE
5,2,15,20,right,TRUE
6,2,15,25,left,FALSE
7,2,15,25,right,FALSE
8,2,20,10,left,TRUE
9,2,20,10,right,TRUE
10,2,20,15,left,TRUE
11,2,20,15,right,TRUE
12,2,20,20,left,TRUE
13,2,20,20,right,TRUE
14,2,20,25,left,TRUE
15,2,20,25,right,TRUE
16,2,25,10,left,TRUE
17,2,25,10,right,TRUE
18,2,25,15,left,TRUE
19,2,25,15,right,TRUE
20,2,25,20,left,TRUE
21,2,25,20,right,TRUE
22,2,25,25,left,TRUE
23,2,25,25,right,TRUE
24,2,30,10,left,TRUE
25,2,30,10,right,TRUE
26,2,30,15,left,TRUE
27,2,30,15,right,TRUE
28,2,30,20,left,TRUE
29,2,30,20,right,TRUE
30,2,30,25,left,TRUE
31,2,30,25,right,TRUE
32,3,15,10,left,FALSE
33,3,15,10,right,TRUE
34,3,15,15,left,FALSE
35,3,15,15,right,FALSE
36,3,15,20,left,FALSE
37,3,15,20,right,FALSE
38,3,15,25,left,FALSE
39,3,15,25,right,FALSE
40,3,20,10,left,TRUE
41,3,20,10,right,TRUE
42,3,20,15,left,TRUE
43,3,20,15,right,TRUE
44,3,20,20,left,FALSE
45,3,20,20,right,FALSE
46,3,20,25,left,FALSE
47,3,20,25,right,FALSE
48,3,25,10,left,TRUE
49,3,25,10,right,TRUE
50,3,25,15,left,TRUE
51,3,25,15,right,TRUE
52,3,25,20,left,FALSE
53,3,25,20,right,TRUE
54,3,25,25,left,FALSE
55,3,25,25,right,FALSE
56,3,30,10,left,TRUE
57,3,30,10,right,TRUE
58,3,30,15,left,TRUE
59,3,30,15,right,TRUE
60,3,30,20,left,TRUE
61,3,30,20,right,TRUE
62,3,30,25,left,FALSE
63,3,30,25,right,TRUE
64,5,15,10,left,FALSE
65,5,15,10,right,FALSE
66,5,15,15,left,FALSE
67,5,15,15,right,FALSE
68,5,15,20,left,FALSE
69,5,15,20,right,FALSE
70,5,15,25,left,FALSE
71,5,15,25,right,FALSE
72,5,20,10,left,FALSE
73,5,20,10,right,FALSE
74,5,20,15,left,FALSE
75,5,20,15,right,FALSE
76,5,20,20,left,FALSE
77,5,20,20,right,FALSE
78,5,20,25,left,FALSE
79,5,20,25,right,FALSE
80,5,25,10,left,FALSE
81,5,25,10,right,FALSE
82,5,25,15,left,FALSE
83,5,25,15,right,FALSE
84,5,25,20,left,FALSE
85,5,25,20,right,FALSE
86,5,25,25,left,FALSE
87,5,25,25,right,FALSE
88,5,30,10,left,FALSE
89,5,30,10,right,FALSE
90,5,30,15,left,FALSE
91,5,30,15,right,FALSE
92,5,30,20,left,FALSE
93,5,30,20,right,FALSE
94,5,30,25,left,FALSE
95,5,30,25,right,FALSE
96,8,15,10,left,FALSE
97,8,15,10,right,FALSE
98,8,15,15,left,FALSE
99,8,15,15,right,FALSE
100,8,15,20,left,FALSE
101,8,15,20,right,FALSE
102,8,15,25,left,FALSE
103,8,15,25,right,FALSE
104,8,20,10,left,FALSE
105,8,20,10,right,FALSE
106,8,20,15,left,FALSE
107,8,20,15,right,FALSE
108,8,20,20,left,FALSE
109,8,20,20,right,FALSE
110,8,20,25,left,FALSE
111,8,20,25,right,FALSE
112,8,25,10,left,FALSE
113,8,25,10,right,FALSE
114,8,25,15,left,FALSE
115,8,25,15,right,FALSE
116,8,25,20,left,FALSE
117,8,25,20,right,FALSE
118,8,25,25,left,FALSE
119,8,25,25,right,FALSE
120,8,30,10,left,FALSE
121,8,30,10,right,FALSE
122,8,30,15,left,FALSE
123,8,30,15,right,FALSE
124,8,30,20,left,FALSE
125,8,30,20,right,FALSE
126,8,30,25,left,FALSE
127,8,30,25,right,FALSE
128,10,15,10,left,FALSE
129,10,15,10,right,FALSE
130,10,15,15,left,FALSE
131,10,15,15,right,FALSE
132,10,15,20,left,FALSE
133,10,15,20,right,FALSE
134,10,15,25,left,FALSE
135,10,15,25,right,FALSE
136,10,20,10,left,FALSE
137,10,20,10,right,FALSE
138,10,20,15,left,FALSE
139,10,20,15,right,FALSE
140,10,20,20,left,FALSE
141,10,20,20,right,FALSE
142,10,20,25,left,FALSE
143,10,20,25,right,FALSE
144,10,25,10,left,FALSE
145,10,25,10,right,FALSE
146,10,25,15,left,FALSE
147,10,25,15,right,FALSE
148,10,25,20,left,FALSE
149,10,25,20,right,FALSE
150,10,25,25,left,FALSE
151,10,25,25,right,FALSE
152,10,30,10,left,FALSE
153,10,30,10,right,FALSE
154,10,30,15,left,FALSE
155,10,30,15,right,FALSE
156,10,30,20,left,FALSE
157,10,30,20,right,FALSE
158,10,30,25,left,FALSE
159,10,30,25,right,FALSE
