variant_id,params,collision_found
0,"{""id"": 0, ""speed_factor"": 0.5, ""lateral_offset"": -15, ""heading_offset"": -1.5}",FALSE
1,"{""id"": 1, ""speed_factor"": 0.5, ""lateral_offset"": -15, ""heading_offset"": -0.8}",FALSE
2,"{""id"": 2, ""speed_factor"": 0.5, ""lateral_offset"": -15, ""heading_offset"": 0}",FALSE
3,"{""id"": 3, ""speed_factor"": 0.5, ""lateral_offset"": -15, ""heading_offset"": 0.8}",FALSE
4,"{""id"": 4, ""speed_factor"": 0.5, ""lateral_offset"": -15, ""heading_offset"": 1.5}",FALSE
5,"{""id"": 5, ""speed_factor"": 0.5, ""lateral_offset"": -10, ""heading_offset"": -1.5}",FALSE
6,"{""id"": 6, ""speed_factor"": 0.5, ""lateral_offset"": -10, ""heading_offset"": -0.8}",FALSE
7,"{""id"": 7, ""speed_factor"": 0.5, ""lateral_offset"": -10, ""heading_offset"": 0}",FALSE
8,"{""id"": 8, ""speed_factor"": 0.5, ""lateral_offset"": -10, ""heading_offset"": 0.8}",FALSE
9,"{""id"": 9, ""speed_factor"": 0.5, ""lateral_offset"": -10, ""heading_offset"": 1.5}",FALSE
10,"{""id"": 10, ""speed_factor"": 0.5, ""lateral_offset"": -5, ""heading_offset"": -1.5}",FALSE
11,"{""id"": 11, ""speed_factor"": 0.5, ""lateral_offset"": -5, ""heading_offset"": -0.8}",FALSE
12,"{""id"": 12, ""speed_factor"": 0.5, ""lateral_offset"": -5, ""heading_offset"": 0}",FALSE
13,"{""id"": 13, ""speed_factor"": 0.5, ""lateral_offset"": -5, ""heading_offset"": 0.8}",FALSE
14,"{""id"": 14, ""speed_factor"": 0.5, ""lateral_offset"": -5, ""heading_offset"": 1.5}",FALSE
15,"{""id"": 15, ""speed_factor"": 0.5, ""lateral_offset"": 0, ""heading_offset"": -1.5}",FALSE
16,"{""id"": 16, ""speed_factor"": 0.5, ""lateral_offset"": 0, ""heading_offset"": -0.8}",FALSE
17,"{""id"": 17, ""speed_factor"": 0.5, ""lateral_offset"": 0, ""heading_offset"": 0}",FALSE
