id,desc,ego_speed,obs_speed,distance,brake_decel,collision
0,ego25_obs20_dist15_brake4,25,20,15,-4.0,TRUE
1,ego25_obs20_dist20_brake4,25,20,20,-4.0,TRUE
2,ego25_obs20_dist25_brake4,25,20,25,-4.0,TRUE
3,ego25_obs20_dist30_brake4,25,20,30,-4.0,TRUE
4,ego30_obs25_dist15_brake4,30,25,15,-4.0,TRUE
5,ego30_obs25_dist20_brake4,30,25,20,-4.0,TRUE
6,ego30_obs25_dist25_brake4,30,25,25,-4.0,TRUE
7,ego30_obs25_dist30_brake4,30,25,30,-4.0,TRUE
8,ego20_obs15_dist10_brake4,20,15,10,-4.0,FALSE
9,ego20_obs15_dist15_brake4,20,15,15,-4.0,FALSE
10,ego25_obs20_dist15_brake3,25,20,15,-3.0,TRUE
11,ego25_obs20_dist20_brake3,25,20,20,-3.0,TRUE
12,ego25_obs20_dist25_brake3,25,20,25,-3.0,TRUE
13,ego30_obs25_dist20_brake3,30,25,20,-3.0,TRUE
14,ego30_obs25_dist25_brake3,30,25,25,-3.0,TRUE
15,ego25_obs20_dist15_brake2,25,20,15,-2.0,TRUE
16,ego25_obs20_dist20_brake2,25,20,20,-2.0,TRUE
17,ego30_obs25_dist20_brake2,30,25,20,-2.0,TRUE
18,ego15_obs10_dist20_brake4,15,10,20,-4.0,FALSE
19,ego20_obs15_dist25_brake4,20,15,25,-4.0,FALSE
20,ego25_obs20_dist40_brake4,25,20,40,-4.0,TRUE
21,ego30_obs25_dist50_brake4,30,25,50,-4.0,TRUE
